Title,Link,Citations,Year,Category
From lean manufacturing to smart factory: communication in work organization processes in contemporary capitalism.,https://www.researchgate.net/profile/Claudia-Nociolini-Rebechi/publication/342110412_FROM_LEAN_MANUFACTURING_TO_SMART_FACTORY_COMMUNICATION_IN_WORK_ORGANIZATION_PROCESSES_IN_CONTEMPORARY_CAPITALISM/links/5ee2aa9c92851ce9e7dcaad9/FROM-LEAN-MANUFACTURING-TO-SMART-FACTORY-COMMUNICATION-IN-WORK-ORGANIZATION-PROCESSES-IN-CONTEMPORARY-CAPITALISM.pdf,1,2020,Article
Lost in Translation: Sustainability down the Construction Supply Chain,https://www.iso20400.org/wp-content/uploads/formidable/16/Article-ISO20400-publication-version-8.1.20.pdf,2,2020,Article
Understanding Culture Within the Construction Industry through Lifelong Learning (SLO 24),https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1500&context=cmsp,0,2020,Article
Child labor and health: a systematic literature review of the impacts of child labor on child's health in low-and middle-income countries,https://academic.oup.com/jpubhealth/article-pdf/41/1/18/28546266/fdy018.pdf,195,2019,Article
Brick kilns of Nepal: a non-governmental organization perspective,https://www.scirp.org/journal/paperinformation?paperid=90373,13,2019,Article
Trade and Child Labor: A Review of Literature,https://www.researchgate.net/profile/Bilal-Tariq/publication/338583931_Trade_and_Child_Labor_A_Review_of_Literature/links/5e2002ed458515ba208a86e0/Trade-and-Child-Labor-A-Review-of-Literature.pdf,5,2019,Article
Modern slavery challenges to supply chain management,https://www.nottingham.ac.uk/research/beacons-of-excellence/rights-lab/resources/academic-publications/2019/march/trautrims-supply-chain-management.pdf,409,2015,Article
Building trust between consumers and corporations: The role of consumer perceptions of transparency and social responsibility,https://www.researchgate.net/profile/Gwendolyn-Hustvedt/publication/258162027_Building_Trust_Between_Consumers_and_Corporations_The_Role_of_Consumer_Perceptions_of_Transparency_and_Social_Responsibility/links/55e710a908ae3e121841fc3a/Building-Trust-Between-Consumers-and-Corporations-The-Role-of-Consumer-Perceptions-of-Transparency-and-Social-Responsibility.pdf,664,2014,Article
Modern slavery as a management practice: Exploring the conditions and capabilities for human exploitation,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2070311,649,2013,Article
Impacts of corporate code of conduct on labor standards: A case study of Reebok's athletic footwear supplier factory in China,,440,2008,Article
Responsibility: The new business imperative,https://www.researchgate.net/profile/Charles-Bodwell/publication/282750114_Responsibility_The_new_business_imperative/links/602cd6574585158939ad7155/Responsibility-The-new-business-imperative.pdf,1175,2002,Article
The apparel industry response to “sweatshop” concerns: A review and analysis of codes of conduct,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1745-493X.1999.tb00062.x,426,1999,Review
